ID (n.)	Ps	f.	IIIF-Link image	Transcription	IIIF-Link caption	Translation	DW Ref.	Source	Conservation	Ink	Hand	Type of caption (subcategory)	Psalm-ID	Remarks
1	1 	19r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:9.49914,13.72292,33.2038,21.47078/pct:100/0/default.jpg	[ὁ?] ἀρχάγγελος [Μι]χαήλ	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:13.29879,15.33158,4.79275,3.90676/pct:100/0/default.jpg	Archangel Michael.	p. 8, pl. XIV		Flaked	pale red	U	Label or short identifying caption	1a	
2	1 	19r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:9.49914,13.72292,33.2038,21.47078/pct:100/0/default.jpg	Μήτηρ θεοῦ	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:17.962,15.03611,4.79275,3.90676/pct:100/0/default.jpg	Mother of God.	p. 8, pl. XIV		Partly flaked	pale red 	U	Label or short identifying caption	1b	
3	1 	19r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:9.49914,13.72292,33.2038,21.47078/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:22.4525,15.00328,4.79275,3.90676/pct:100/0/default.jpg	Jesus Christ.	p. 8, pl. XIV		Good	pale red 	U	Label or short identifying caption	1c	
4	1 	19r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:9.49914,13.72292,33.2038,21.47078/pct:100/0/default.jpg	Ἰωάννης βαπτιστής	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:27.46114,15.06894,4.79275,3.90676/pct:100/0/default.jpg	John the Baptist.	p. 8, pl. XIV		Partly flaked	pale red 	U	Label or short identifying caption	1d	
5	1 	19r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:9.49914,13.72292,33.2038,21.47078/pct:100/0/default.jpg	Δαυίδ	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0033_fa_0019r.jp2/pct:32.85838,14.8063,4.79275,3.90676/pct:100/0/default.jpg	David.	p. 8, pl. XIV		Flaked	pale red 	U	Label or short identifying caption	1e	
6	2	20r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0036_fa_0020r.jp2/pct:44.54746,12.80965,26.44592,18.77445/pct:100/0/default.jpg	Μιχαήλ	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0036_fa_0020r.jp2/pct:47.19647,13.62451,4.15011,3.06389/pct:100/0/default.jpg	Michael.	p. 8, pl. XIV	Cf. end of Ps 1? (DW p. 8 n. 1).	Good	pale red	(H)	Label or short identifying caption	2(1)a	
7	2	20r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0036_fa_0020r.jp2/pct:44.54746,12.80965,26.44592,18.77445/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0036_fa_0020r.jp2/pct:56.11479,16.42764,10.19868,3.06389/pct:100/0/default.jpg	Jesus Christ.	p. 8, pl. XIV	--	Good	pale red 	(H)	Label or short identifying caption	2(1)b	
8	2	20r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0036_fa_0020r.jp2/pct:44.54746,12.80965,26.44592,18.77445/pct:100/0/default.jpg	καὶ συγχωρῶν ὁ Χριστὸς τὸν Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0036_fa_0020r.jp2/pct:63.92936,18.35072,4.23841,3.06389/pct:100/0/default.jpg	And Christ (is) forgiving David.	p. 8, pl. XIV	--	Good	pale red 	H	Descriptive caption (eschatological)	2(1)c	
9	3	22r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0039_fa_0022r.jp2/pct:44.46883,11.10746,37.84021,63.88432/pct:100/0/default.jpg	καὶ ἰδὼν ὁ Δαυὶδ τὸν Ἀβεσαλώμ. ἐπὶ ξύλου τεθνήξαντα· ὁδυρόμενος μετὰ κλαυθμοῦ λέγει· ὅρη τὰ βωλβοᾶ· μὴ ἀνατελεῖ ἥλιος τόπον τοῦτον· μὴ τὲ ὑιετὸς βρέξει ἐπὶ τὴν γῆν ταῦτην· ὅτι τὸ αἷμα τοῦ υἱοῦ μοῦ τοῦ Ἀβεσαλὼμ ἐκκεχύται [DW ἐκκεχύτα].	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0039_fa_0022r.jp2/pct:57.63828,13.11206,20.85162,13.27637/pct:100/0/default.jpg	Αnd when David saw Absalom, dead on the tree, he grieved and said in lament: Oh mountains of Gilboa (Bolboa), the sun will not rise in this place, nor will the rain wet this earth, for the blood of my son Absalom has been poured out.	p. 8, pl. XV	Cf. 2 Kgdms 18:9-10	Good	pale red 	H (ll. 1-2) + E	Speaking caption (David)	3a	
10	3	22r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0039_fa_0022r.jp2/pct:44.46883,11.10746,37.84021,63.88432/pct:100/0/default.jpg	καταδιώκον ὁ Ἀβεσαλὼμ τὸν πατέρα αὐτοῦ τὸν Δαυὶδ ὅπως θανατοῖ αὐτόν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0039_fa_0022r.jp2/pct:48.46356,52.08676,10.18437,5.52087/pct:100/0/default.jpg	Absalom is pursuing his father David so as to kill him.	p. 8, pl. XV	Cf. 2 Kgdms 17 and 18:9-10	Partly flaked	pale red 	E	Descriptive caption (David)	3b	
11	4	23v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0041_fa_0023v.jp2/pct:15.66105,12.75964,50.17746,29.01418/pct:100/0/default.jpg	λέγει ὁ Δαυίδ· τοῦτο γὰρ εἶπε καὶ ἐθαυμάστωσε [DW: ἐθαυμάσωσε] καὶ ἐπιμένοι διηνεκὼς τὰς ἐμὰς δεήσεις δεχόμενος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0041_fa_0023v.jp2/pct:20.45253,16.5183,17.12511,7.28652/pct:100/0/default.jpg	David says: He said this and ‘made an object of wonder’ and has received the prayers from those of us who had remained steadfast.	p. 9, pl. XV	Theodoret on v. 4 (PG80, 892)	Good	bright red + overwritten (last letters) 	E	Speaking caption (David)	4	
12	5	25r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0044_fa_0025r.jp2/pct:38.28368,34.68573,34.45976,34.08713/pct:100/0/default.jpg	λέγει ὁ Δαυίδ ταῦτα ἡ ἐκκλησία λέγει πρὸς τὸν θεὸν ἡ νυμφευθεῖσα τῷ Χριστῷ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0044_fa_0025r.jp2/pct:49.84438,38.01131,10.49355,6.85068/pct:100/0/default.jpg	David says: The church, that is the bride of Christ, says these things to God.	p. 9, pl. XVI	Hes. on v. 1 (fol. 25v, cf. MS Venice, BNM, Marc. gr. Z. 535, fol. 5r)	Good	bright red 	E	Speaking caption (David)	5	
13	6	27v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0047_fa_0027v-28r.jp2/pct:13.9412,35.99124,20.80845,36.30394/pct:100/0/default.jpg	ὁ Χριστὸς καθήμενος ἐπὶ θρόνου δόξης· 	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0047_fa_0027v-28r.jp2/pct:19.47634,35.99124,12.58613,5.53471/pct:100/0/default.jpg	Christ sitting on the throne of glory.	p. 9, pl. XVI	Cf. Hes. and Theodoret on title	Good	dark red/bright red 	E	Descriptive caption (eschatological)	6a	
14	6	27v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0047_fa_0027v-28r.jp2/pct:13.9412,35.99124,20.80845,36.30394/pct:100/0/default.jpg	ἡ δευτέρη παρουσία.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0047_fa_0027v-28r.jp2/pct:21.49747,52.18887,6.08636,5.53471/pct:100/0/default.jpg	The second coming.	p. 9, pl. XVI	Title	Partly flaked	dark red/bright red 	E	Descriptive caption (eschatological)	6b	
